"from","to"
"FEF","VP"
"FEF","MT"
"FEF","MSTd/p"
"FEF","MSTl"
"FEF","PO"
"FEF","LIP"
"FEF","VIP"
"FEF","DP"
"FEF","7a"
"FEF","FST"
"FEF","AITd"
"FEF","STPp"
"FEF","46"
"FEF","4"
"FEF","6"
"FEF","36"
"46","V4"
"46","MT"
"46","MSTd/p"
"46","LIP"
"46","VIP"
"46","DP"
"46","7a"
"46","PITd"
"46","PITv"
"46","AITd"
"46","STPp"
"46","STPa"
"46","TF"
"46","TH"
"46","FEF"
"46","SII"
"46","7b"
"46","4"
"46","35"
"46","36"
"3a","VIP"
"3a","3b"
"3a","1"
"3a","2"
"3a","SII"
"3a","4"
"3b","3a"
"3b","1"
"3b","2"
"3b","SII"
"1","VIP"
"1","3a"
"1","3b"
"1","2"
"1","5"
"1","SII"
"1","7b"
"1","6"
"2","VIP"
"2","3a"
"2","3b"
"2","1"
"2","5"
"2","SII"
"2","7b"
"2","4"
"2","6"
"2","SMA"
"5","LIP"
"5","VIP"
"5","1"
"5","2"
"5","Ri"
"5","SII"
"5","7b"
"5","4"
"5","6"
"5","SMA"
"Ri","5"
"Ri","SII"
"Ri","7b"
"Ri","Ig"
"SII","VIP"
"SII","3a"
"SII","3b"
"SII","1"
"SII","2"
"SII","Ri"
"SII","7b"
"SII","6"
"SII","Ig"
"SII","Id"
"7b","VIP"
"7b","7a"
"7b","46"
"7b","5"
"7b","Ri"
"7b","SII"
"7b","4"
"7b","6"
"7b","SMA"
"7b","Ig"
"4","VIP"
"4","3a"
"4","2"
"4","5"
"4","SII"
"4","7b"
"4","6"
"4","SMA"
"6","LIP"
"6","VIP"
"6","7a"
"6","1"
"6","2"
"6","5"
"6","SII"
"6","7b"
"6","4"
"6","SMA"
"SMA","MSTd/p"
"SMA","LIP"
"SMA","VIP"
"SMA","2"
"SMA","5"
"SMA","7b"
"SMA","4"
"SMA","6"
"Ig","Ri"
"Ig","SII"
"Ig","7b"
"Ig","35"
"Ig","36"
"Id","SII"
"Id","Ig"
"Id","35"
"Id","36"
"35","Ig"
"35","Id"
"36","Ig"
"36","Id"
